"dgp","weights","theta","bias","rel_bias","mse","rmse","failure_rate"
"A","flat",6.6968157140173,0.0590882966057213,0.00882334218665177,0.251885804377753,0.501882261469513,0
"B","flat",6.77221916725154,-3.21352971772742,-0.474516497231381,10.4072677387602,3.22602971758789,0
"A","exp9",6.6968157140173,0.0585606903663294,0.00874455754303561,0.275236912423304,0.524630262588143,0
"B","exp9",6.77221916725154,-2.81279761773675,-0.415343559957216,8.00253638183014,2.82887546241084,0
"A","exp7",6.6968157140173,0.0847595712256171,0.0126566975776568,0.481361148204574,0.693801951715743,0
"B","exp7",6.77221916725154,-1.66974584292895,-0.246558152016602,2.98702733132296,1.7283018634842,0
