"scenario","category","theta","bias","mse","failure_rate","mse_relative_to_s1"
"S1","HR",6.6968157140173,0.0458482831373077,0.257850778647963,0,1
"S1","SB",6.77221916725154,-3.21808250510673,10.4375933306333,0,1
"S2","HR",6.6968157140173,0.0484733038240526,0.26026574982656,0,1.0093657703547
"S2","SB",6.77221916725154,0.0617082238390063,0.673305569667085,0,0.0645077412329331
"S3","HR",6.6968157140173,0.0533629469725083,0.257132239693767,0,0.997213353560677
"S3","SB",6.77221916725154,-1.66860952816474,2.97992233963813,0,0.285498988631061
